,Unnamed: 0,Form,State,Security_Grade,Area_Number,Terrain_Description,Favorable_Influences,Detrimental_Influences,INHABITANTS_Type,INHABITANTS_Annual_Income,INHABITANTS_Foreignborn,INHABITANTS_F,INHABITANTS_Negro,INHABITANTS_N,INHABITANTS_Infiltration,INHABITANTS_Relief_Families,INHABITANTS_Population_Increase,INHABITANTS_Population_Decrease,INHABITANTS_Population_Static,BUILDINGS_Types,BUILDINGS_Construction,BUILDINGS_Age,BUILDINGS_Repair,Ten_Fifteen_Desirability,Remarks,Date,City_clean,Suburb,max_building_age,Year,Day,Month,max_annual_income,terrain_rolling,white_collar,mixture_or_jewish,professional,business_or_executive,laborer,clerks,mechanics,industrial
10,10,NS FORM-8 6-1-37,Maryland,B,5,undulating ,Good residential section of homogeneous character.,No,white collar class,$2500 to $3500,Yes,,No,,No,Very few,,,Yes,Two story row,Brick,20 years,Fairly Good,Static,Ground rents $90 to $120. Principally $90.,"May 4,1937",Baltimore ,,20.0,1937.0,4.0,May,3500.0,0,1,0,0,0,0,0,0,0
11,11,NS FORM-8 6-1-37,Maryland,B,6,rolling,Near Druid Hill Park. Close to center of city.,Built on filled ground., white collar class,"$3,000 ",No,,No,,No,None,Slowly,,,Two story row,Brick,5 to 10 years,Good,Static to upward,Three story houses on Reisterstown Road are 25 years old. Ground Rents $90 to $120. Predominating $96,"May 4,1937",Baltimore ,,10.0,1937.0,4.0,May,3000.0,0,1,0,0,0,0,0,0,0
12,12,NS FORM-8 6-1-37,Maryland,B,7,high level,Stable residential section of modest homes.,No,mechanics,$2000 to $2500,No,,No,,No,Very few,Slowly,,,Two story row and semi detached,Brick,10 years,Good,Static,Ground rents $60 to $90. Predominating $84. Fair valuation,"May 4,1937",Baltimore ,,10.0,1937.0,4.0,May,2500.0,0,0,0,0,0,0,0,1,0
13,13,NS FORM-8 6-1-37,Maryland,B,8,rolling,Good residential area holding up in value,No,middle class,$2500 to $3500,No,,No,,No,Very few,Moderately,,,One family cottage,Frame,25 years,Good,Static to upward,Ground rents $72 to $120. Ground rents in Cedarcroft are principally $120,"May 4,1937",Baltimore ,,25.0,1937.0,4.0,May,3500.0,0,0,0,0,0,0,0,0,0
14,14,NS FORM-8 6-1-37,Maryland,B,9,undulating ,Fairly good residential section with all conveniences.,Distance to center of city,middle class,$2500 to $3500,No,,No,,No,None,Slowly,,,One family detached,Brick and frame,1 to 20 years,Fairly Good,Static,"This section lies in Baltimore County just outside of Baltimore City. Ground rent $90 to $120. Principally $90. New houses are up to $10,000","May 4,1937",Baltimore , Metropolitan Area,20.0,1937.0,4.0,May,3500.0,0,0,0,0,0,0,0,0,0
15,15,NS FORM-8 6-1-37,Maryland,B,10,rolling high,"Desirable residential section, homogeneous as to development and general type of construction. Free of bad features. Substantial class of people.",No,skilled mechanics and junior executives,$2000 to $4000,Yes,,No,,People from C-1,Few,Fast ,,,One family detached,Frame and Brick,6 to 25 years,Good,Static to upward,Considered the best lending section in the city. Ground rent $75 to $120. Averaging $95,"May 4,1937",Baltimore ,,25.0,1937.0,4.0,May,4000.0,0,0,0,0,1,0,0,1,0
16,16,NS FORM-8 6-1-37,Maryland,B,11,rolling,Homogeneous development. Near to parks. Transportation is good. All modest homes in good demand.,No,white collar class,$2000 to $3000,No,,No,,No,None,Moderately fast,,,Two story row,Brick,12 years,Very good,Upward,Ground rents range from $72 to $95. Predominating $72.,"May 4,1937",Baltimore ,,12.0,1937.0,4.0,May,3000.0,0,1,0,0,0,0,0,0,0
17,17,NS FORM-8 6-1-37,Maryland,B,12,flat,Near to Sparrows Point. Desirable residential section.,Distances to commercial area. Narrow streets.,officers of plants industrial,"$2,500 ",Yes,,No,,No,Minimum,Moderately,,,Detached ,"Brick, Stucco, and Frame",20 years,Fairly Good,Upward if steel mills operate,Very few Ground Rents in Dundalk. This section was developed for officers of Bethlehem Steel Company at Sparrows Point.,"May 4,1937",Baltimore , Dundalk,20.0,1937.0,4.0,May,2500.0,0,0,0,0,0,0,0,0,1
18,18,NS FORM-8 6-1-37,Maryland,B,14,level,Quiet suburban section of homogeneous character,No,white collar class,$3000 and up,No,,Yes,Small,No,No,Slowly,,,One family cottage,Frame,20 years,Good,Static to upward,Principally fee property. Few ground rents $120,"May 4,1937",Baltimore,,20.0,1937.0,4.0,May,3000.0,0,1,0,0,0,0,0,0,0
19,19,NS FORM-8 6-1-37,Maryland,B,15,,Outlying quiet suburban section.,None except distances to center of city.,business men,$3000 to $4000,No,,No,,No,No,Slowly,,,Detached singles,Brick and frame,1 to 25 years,Good,Static to upward,"Outside Baltimore City limits. A few larger homes in Sudbrook Park up to $20,000. Principally fee properties. ","May 4,1937",Baltimore , Metropolitan,25.0,1937.0,4.0,May,4000.0,0,0,0,0,1,0,0,0,0
20,20,NS FORM-8 6-1-37,Maryland,B,16,high level,Stable old residential section of good character.,No,business people,$3000 to $5000,No,,No,,No,Very few,,,Yes,Two and three story row,Brick,35 years,Good,Static,Many high-grade apartments are located along Charles and St. Paul streets. Ground rents range $90 to $150. Predominating $120,"May 4,1937",Baltimore,,35.0,1937.0,4.0,May,5000.0,0,0,0,0,1,0,0,0,0
21,21,NS FORM-8 6-1-37,Maryland,B,17,level,Outlying quiet suburban section. County east of Baltimore County.,No,business men,$2000 to $10000,No,,No,,No,Very few,Slowly,,,One family detached,Frame,25 years,Good,Static to upward,Principally fee property,"May 4,1937",Baltimore , Metropolitan,25.0,1937.0,4.0,May,10000.0,0,0,0,0,1,0,0,0,0
22,22,NS FORM-8 6-1-37,Maryland,B,18,rolling,Very high. Fairly new residential section of homogeneous development.,No,white collar class,$2000 to $3000,No,,No,,No,Nominal,Fast ,,,Two story rows,Brick,1 to 15 years,Good,Static to upward,Ground Rents range from $72 to $96. Predominating $90. A well developed and well planned section of modern homes.,"May 4,1937",Baltimore,,15.0,1937.0,4.0,May,3000.0,0,1,0,0,0,0,0,0,0
23,23,NS FORM-8 6-1-37,Maryland,B,19,rolling to hilly,Desirable residential section of very good character,Distance to center of city,white collar class,$3000 and up,No,,No,,Desirable,Nominal,Slowly,,,Singles,Frame masonry,15 to 25 years,Good,Static to possibly upward,Average held at $2000 to $2500 per acre. A sparsely settled area of high grade Americans. Fee properties.,"May 4,1937",Baltimore , Sub. Burton,25.0,1937.0,4.0,May,3000.0,1,1,0,0,0,0,0,0,0
24,24,NS FORM-8 6-1-37,Maryland,B,20,,Suburban atmosphere. Desirable residential section,Distance to center of city,white collar class,$2000 to $4000,No,,No,,Desirable,,,,Yes,Singles,Frame,20 to 40 years,Fairly Good,,A sparsely settled section of modest homes. Principally fee properties,,Baltimore , Sub. Mt. Washington Summit,40.0,,,,4000.0,0,1,0,0,0,0,0,0,0
25,25,NS FORM-8 6-1-37,Maryland,B,21,rolling,A fairly new development of single homes in desirable surroundings. ,Distance to center of city,white collar class,,Yes,,,,,,,,,,,,,,This section has not taken the public's fancy and development appears to slow,,Baltimore , Sub. Villahove,,,,,,0,1,0,0,0,0,0,0,0
26,26,NS FORM-8 6-1-37,Maryland,B,22,,The natural section for expansion from Liberty Heights Ave development,,,,Yes,,,,,,,,,,,,,,"Still very sparsely settled, but may be expected to develop into good character.",,Baltimore , Sub. Colonial Park,,,,,,0,1,0,1,0,0,1,1,1
27,27,NS FORM-8 6-1-37,Maryland,B,23,,Desirable residential section of good character. Suburban atmosphere.,Distance to center of city,,,Yes,,,,,,,,,Singles,Frame,,,,,,Baltimore , Sub. Linthicum Heights,,,,,,0,1,0,1,0,0,1,1,1
28,36,NS FORM-8 6-1-37,Maryland,C,1,level to undulating,Proximity to Patterson Park. Near to industrial plants.,Substantial age and disadvantages of industry except as above,skilled labor,"$1,500 ",Yes,,Yes,0.4,Negro and Italian,Yes,,Slowly,,Two and three story row,Brick,25 to 45 years,Fair,Static to downward.,This entire area is populated principally by persons of Polish extraction who have considerable pride of appearance of their property. Age of property necessitates the third grade. Ground rents in this area range from $42 to $72 and $42 to $48 predominates.,"May 4,1937",Baltimore,,45.0,1937.0,4.0,May,1500.0,1,0,0,0,0,0,0,0,0
29,37,NS FORM-8 6-1-37,Maryland,C,2,flat,"Near to employment, particularly Sparrows Point",Distance to center of city. Smoke and noise from factories lack of planning in developments.,industrial workers,"$1,200 ",Yes,2e-07,No,,Foreigners,Good number,Slowly,,,One family cottages,Frame,15 years,Fair,Static to downward.,Demand is expected to increase because of expansion at Sparrows Point. All fee properties. Portions of this section are outside city limits.,"May 4,1937",Baltimore,,15.0,1937.0,4.0,May,1200.0,0,0,0,0,0,0,0,0,1
30,38,NS FORM-8 6-1-37,Maryland,C,3,high rolling,Fairly desirable residential area of rather old houses. Close to commercial area,Old style architecture,skilled mechanics clerks,"$1,500 ",Yes,0.0006,Yes,8,Negro,Moderate,,,Yes,Two and three story row,Brick,40 years,Fair,Static,Ground rents range from $48 to $75 and average $60,"May 4,1937",Baltimore,,40.0,1937.0,4.0,May,1500.0,1,0,0,0,0,0,1,1,0
31,39,NS FORM-8 6-1-37,Maryland,C,4,high level,Close to commercial area. Goucher college located in the section. Desirable location.,Industrial plants. Continuing obsolescence of old property,mixture,"$2,000 ",Yes,0.0005,No,,No,small,,,Yes,Three story row,Brick,35 years,Fairly Good,Static,Ground rents range from $75 to $150 and average. $90 to $110. Some of these properties are being converted into small apartment units and other are being used as boarding houses.,"May 4,1937",Baltimore,,35.0,1937.0,4.0,May,2000.0,0,0,1,0,0,0,0,0,0
32,40,NS FORM-8 6-1-37,Maryland,C,5,high level,Proximity to Druid Hill Park.,Obsolescence and negro encroachment. Ground rents are very large,mixture jewish,"$2,500 ",Yes,0.0003,Yes,10,Negro,Moderate,,,Yes,Three story row,Brick,40 to 50 years,Fair,Static,Houses are being converted into apartment units. Many rooms in the area are rented and few houses are used for boarding purposes. Some fine old homes are still housing original owners and have considerable values as such. Ground rents range from $90 to $300 average $90 to $120. Too high.,"May 4,1937",Baltimore,,50.0,1937.0,4.0,May,2500.0,0,0,1,0,0,0,0,0,0
33,41,NS FORM-8 6-1-37,Maryland,C,6,high level,Close to commercial area,Continuing obsolescence of old style houses.,mechanics clerks,"$1,500 ",Yes,,No,,No,Fair number. Few.,,,Yes,Two story row,Brick,35 to 50 years,Fair to good,Downward,"Ground rent $50 to $75 average $60. No immediate danger of negro encroachment, but there is a heavy concentration of Negros in the section adjoining. Section is somewhat spotty and has few ground rent up to $120","May 4,1937",Baltimore,,50.0,1937.0,4.0,May,1500.0,0,0,0,0,0,0,1,1,0
34,28,NS FORM-8 6-1-37,Maryland,C,7,rolling,Close to commercial area. Fairly desirable residential section near parks.,Old style architecture. Heavy obsolescence ,clerks mechanics,$1500 to $2500,No,,Nominal,,No,Heavy,,,Yes,Two story row,Brick,35 to 50 years,Fair,Downward,Ground rents range from $50 to $50. Average $50. There is considerable business on main thoroughfares,"May 4,1937",Baltimore,,50.0,1937.0,4.0,May,2500.0,0,0,0,0,0,0,1,1,0
35,29,NS FORM-8 6-1-37,Maryland,C,8,high level,Stable residential area of modest houses.,No,business men clerks,$1500 to $3000,Yes,,No,,No,Few,Slowly,,,Two story row houses & semi detached,Brick,20 years,Fairly Good,Static,Ground rent range $60 to $90. This section has a concentration of medium income Jewish families. Cottages are not selling very well.,"May 4,1937",Baltimore,,20.0,1937.0,4.0,May,3000.0,0,0,0,0,1,0,1,0,0
36,30,NS FORM-8 6-1-37,Maryland,C,9,level,Conversion value of location for business purposes. Commercial future.,Heavy traffic and disadvantage of commerce except as above,white collar class clerks,"$2,500 ",No,,No,,No,Few,,,Yes,"Cottages on east side, Rows on west side",Frame and Brick,"Row 20, Frame 35 years",Fair to good,"Downward as residential, upward for commerce",Ground rents $72 to $120. Average $90,"May 4,1937",Baltimore,,35.0,1937.0,4.0,May,2500.0,0,1,0,0,0,0,1,0,0
37,31,NS FORM-8 6-1-37,Maryland,C,10,rolling,Outlying residential section of small modest homes,Bad location. Principally poor transportation,clerks mechanics,"$2,000 ",No,,No,,,Nominal,,,Yes,One family detached,Frame,15 years,Fair,Downward,"Ground rent range $72 to $90.  Predominating. The general reputation of this section is fair, but the section embraces some poorly constructed houses. ","May 4,1937",Baltimore,,15.0,1937.0,4.0,May,2000.0,0,0,0,0,0,0,1,1,0
38,32,NS FORM-8 6-1-37,Maryland,C,11,rolling to hilly,None,Heavy traffic through section,mixture laboring class,"$1,200 ",Yes,0.001,Yes,5,Poorer classes,Heavy,Very slowly,,,Bungalows,Frame,20 Years,Fair,Static,Ground rents range $43 to $72. Average $60. Very spotty,"May 4,1937",Baltimore,,20.0,1937.0,4.0,May,1200.0,1,0,1,0,0,0,0,0,0
39,33,NS FORM-8 6-1-37,Maryland,C,12,rolling,Proximity to industrial plants.,,industrial employees,"$1,200 ",Yes,0.0011,Yes,2,Foreigners and Negros,Many,Fairly fast,,,Row houses,Brick and frame,25 years,Fair,Static,Ground rents $30 to $75. Predominating $60,"May 4,1937",Baltimore,,25.0,1937.0,4.0,May,1200.0,0,0,0,0,0,0,0,0,1
40,34,NS FORM-8 6-1-37,Maryland,C,13,rolling,Old residential section of modest character in poor condition. Near Druid Hill Park.,Heavy obsolescence of property,skilled mechanics clerks,"$1,800 ",Yes,2e-07,No,,Foreigners,Heavy,,,Yes,Two and three story row,Brick,40 to 60 years,Fair,Static to downward.,Ground rent range $42 to $90. Predominating $60 to $72. Not a very desirable area.,"May 4,1937",Baltimore,,60.0,1937.0,4.0,May,1800.0,0,0,0,0,0,0,1,1,0
41,35,NS FORM-8 6-1-37,Maryland,C,14,,Fairly good residential section of modest homes,No,white collar class,"$2,500 ",No,,No,,No,Very few,Slowly,,,Two story cottages and rows,Frame and Brick,15 years,Good,Static to upward,Ground rent range $72 to $95. Predominating $90,"May 4,1937",Baltimore,,15.0,1937.0,4.0,May,2500.0,0,1,0,0,0,0,0,0,0
42,42,NS FORM-8 6-1-37,Maryland,C,15,,,A mediocre section of cheap construction,mechanics clerks,$1500 to $2500,Yes,,,,,,,,,,,,,,Very sparsely settled section,,Baltimore , Sub.,,,,,2500.0,0,0,0,0,0,0,1,1,0
43,43,NS FORM-8 6-1-37,Maryland,C,16,,Fairly good location,Cheap construction,,,Yes,,,,,,,,,,,,,,The section never seemed to go over very well and is very sparsely settled,,Baltimore , Sub. Catonsville Heights,,,,,,0,1,0,1,0,0,1,1,1
44,44,NS FORM-8 6-1-37,Maryland,C,17,level,Fairly desirable section of modest houses,Distance to center of city,clerks skilled mechanics,$1500 to $2500,Yes,,,,,,,,,Bungalows to cottages,Frame,1 to 30 years,Fairly Good,,A rather presentable section of modest homes. Mostly fee property,,Baltimore , Sub. Arbutus Terrace,30.0,,,,2500.0,0,0,0,0,0,0,1,1,0
45,45,NS FORM-8 6-1-37,Maryland,C,18,high rolling,On Washington-Baltimore Pike,Loss of RR from the section,skilled labor clerks,,Yes,,,,,,,,,,,,,,Some utilities are lacking . Principally fee property,,Baltimore , Sub. Holethorpe,,,,,,1,0,0,0,0,0,1,0,0
46,46,NS FORM-8 6-1-37,Maryland,C,19,,Suburban atmosphere,,skilled labor clerks,$1000 to $2000,Yes,,,,,,,,,Singles,Frame,,,,A sparsely settled section of fair character. Principally fee property.,,Baltimore , Sub. Lansdowne,,,,,2000.0,0,0,0,0,0,0,1,0,0
47,47,NS FORM-8 6-1-37,Maryland,C,20,,Similar in general character to Lansdowns (C-19),,,,Yes,,,,,,,,,Singles,Frame,,,,Principally fee property,"May 4,1937",Baltimore , Sub. Baltimore Highlands,,1937.0,4.0,May,,0,1,0,1,0,0,1,1,1
48,48,NS FORM-8 6-1-37,Maryland,C,21,,Similar in character to Lansdowne except further removed from the city limits.,,,,Yes,,,,,,,,,Singles,Frame,,,,Principally fee property,"May 4,1937",Baltimore , Sub. North Linthicum,,1937.0,4.0,May,,0,1,0,1,0,0,1,1,1
49,49,NS FORM-8 6-1-37,Maryland,C,22,,Similar in character to Lansdowne (C-19),,,,Yes,,,,,,,,,,,,,,,,Baltimore , Sub. ,,,,,,0,1,0,1,0,0,1,1,1
50,50,NS FORM-8 6-1-37,Maryland,D,1,level to undulating,"Proximity to employment, industrial and commercial. ",Heavy concentration of foreigners. Property is in very bad state of repair,laborers,"$1,000 ",Yes,0.0025,Yes,25,Negro,Yes,,Fast,,Three story row,Brick,65 years,Poor,Downward,Ground rents in this section range from $36 to $60. Average $42. Properties around Johns Hopkins Hospital are better than the average and have considerable desirability in housing hospital attendants and for commercial value. Ground rents on Broadway. Sales are very poor. Section east of Broadway is better. Southern section largely industry. Whole section is spotty.,"May 4,1937",Baltimore,,65.0,1937.0,4.0,May,1000.0,1,0,0,0,0,1,0,0,0
51,51,NS FORM-8 6-1-37,Maryland,D,2,undulating ,Close to industrial employment.,Mixture of foreign born. Disadvantage of industry except as above.,mixture,"$1,000 ",Yes,0.003,Yes,2,No,Many,,Fast,,Two to three story row,Brick,60,Poor to fair ,Downward,Area become worse south of Eastern Avenue. Ground Rents range $36 to $60. Predominately $36 to $48. Mixture of small industrial plants. Properties are old but fairly well maintained.,"May 4,1937",Baltimore,,60.0,1937.0,4.0,May,1000.0,0,0,1,0,0,0,0,0,0
52,52,NS FORM-8 6-1-37,Maryland,D,4,rolling,Good transportation. Central location.,Obsolescence. Negro concentration. Excessive Ground Rents in many cases,mixture,"$1,000 ",Yes,0.0015,Yes,80,Negro,Yes Many,,Fast,,Two and three story row,Brick,50 years,Poor,Downward,Ground rents range from $42 to $120. Predominating $60 and $75; considerable vandalism in this area. A few Ground Rents up to $200.,"May 4,1937",Baltimore,,50.0,1937.0,4.0,May,1000.0,0,0,1,0,0,0,0,0,0
53,53,NS FORM-8 6-1-37,Maryland,D,5,low level,Central location. Near employment.,Heavy obsolescence. Industrial encroachment.,laborers,$700 to $1000,Yes,0.008,Yes,20,"Negro, foreigners",Yes High 50%,,Slowly,Yes,Two and three story row,Brick,60 years,Poor,Downward,Ground rents in this section range from $30 to $60 and average $40 to $42.,"May 4,1937",Baltimore,,60.0,1937.0,4.0,May,1000.0,0,0,0,0,0,1,0,0,0
54,54,NS FORM-8 6-1-37,Maryland,D,6,level,Near desirable properties.,Houses in very bad condition. Many alley properties. Area is run down.,laborers,$700 to $1000,Yes,0.0035,Yes,35,Above,,,,yes,Two story rows,Brick,35 years,Poor,Downward,Ground rents range $30 to $60. Predominating $43 to $48. Vandalism in this section.,"May 4,1937",Baltimore,,35.0,1937.0,4.0,May,1000.0,0,0,0,0,0,1,0,0,0
55,55,NS FORM-8 6-1-37,Maryland,D,8,rolling,Central locations. Conversion to business.,Interspersed with b business. Entire ward zoned for commerce.,mixture,,Yes,0.004,Yes,30,Negro,Yes,,Fast,,Three story row,Brick,60 years,Poor,Downward,Valuations down do not include homes on Monument Square. A boarding house area with some very fine old homes still retaining considerable value around Mt. Vernon Place. Ground Rents range from $30 to $180. Ground rents on Mt. Vernon Place up to $216. Charles Street properties are the Central section includes some of the worst of some very good property.,"May 4,1937",Baltimore,,60.0,1937.0,4.0,May,,0,0,1,0,0,0,0,0,0
56,56,NS FORM-8 6-1-37,Maryland,D,9,level to undulating,Central location. Conversion value for business expansion ,Heavy obsolescence of residential property. Business noises. ,mixture,,Yes,0.00114,Yes,40.2,All lower classes,Moderate,,Fast,,Two and three story row,Brick,60 years,Poor to fair ,Residential downward; commercial upward,Most of this section comprises the commercial area of the city. Houses are intermingled with businesses. Ground Rents range from $30 to $90. Average $60. Alley property is very bad.,"May 4,1937",Baltimore,,60.0,1937.0,4.0,May,,1,0,1,0,0,0,0,0,0
